,0
vertex_301,0.12404333571955395
vertex_302,0.22148008231696054
vertex_303,0.14215980089809346
vertex_304,0.18163579039817604
vertex_305,0.3623163032143313
vertex_306,0.27326549411406115
vertex_307,0.061907115827629526
vertex_308,0.07529356304594433
vertex_309,0.07493295865478423
vertex_310,0.05780167646892687
vertex_311,0.09880400544136561
vertex_312,0.05578777120437184
vertex_313,0.06672940248854839
vertex_314,0.03256350259962646
vertex_315,0.02911234232598299
vertex_316,0.019000150218511265
vertex_317,0.1054406421414126
vertex_318,0.07687339520416743
vertex_319,0.057501421079595605
vertex_320,0.05721982462510456
vertex_321,0.03661997288416251
vertex_322,0.03806209263744476
vertex_323,0.06285487642494753
vertex_324,0.01652263004492347
vertex_325,0.07140829529697607
vertex_326,0.052864937087739816
vertex_327,0.035192538402136736
vertex_328,0.03610872330485166
vertex_329,0.0608199224252029
vertex_330,0.10531738324818103
vertex_331,0.13873281462137987
vertex_332,0.08554466164182455
vertex_333,0.11743659587029592
vertex_334,0.09269913778900689
vertex_335,0.026972282642224534
vertex_336,0.024229203026665817
vertex_337,0.040700085530344335
vertex_338,0.2781773938207032
vertex_339,0.275423776304063
vertex_340,0.12452074382629529
vertex_341,0.02537868961244726
vertex_342,0.03895637863990671
vertex_343,0.03992538499396953
vertex_344,0.021603956476839836
vertex_345,0.03948193838379394
vertex_346,0.14123481387945797
vertex_347,0.13572012708553358
vertex_348,0.26527739837675585
vertex_349,0.28746463656746385
vertex_350,0.27683196909736557
vertex_351,0.2642799756029982
vertex_352,0.15900538967297898
vertex_353,0.19255407522949672
vertex_354,0.027730520148781666
vertex_355,0.029643904639336496
vertex_356,0.12444773670483553
vertex_357,0.08470597913070199
vertex_358,0.034120077742244175
vertex_359,0.08510561701213867
vertex_360,0.08721399413430174
vertex_361,0.11348370831238731
vertex_362,0.0675663116263868
vertex_363,0.07454692980382573
vertex_364,0.08387608551098194
vertex_365,0.14581663893993008
vertex_366,0.06462773569363578
vertex_367,0.03717178214853711
vertex_368,0.03587148518755331
vertex_369,0.05657072113858761
vertex_370,0.09111422143567156
vertex_371,0.052195388665048935
vertex_372,0.07095123588374325
vertex_373,0.04336789864117942
vertex_374,0.034131262008313484
vertex_375,0.04657131107099849
vertex_376,0.045757046114858944
vertex_377,0.04088644741776706
vertex_378,0.05491396642420444
vertex_379,0.07268012904516401
vertex_380,0.11366730196312229
