rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff,mean_act_bumbo,mean_act_tarol
186,126,7Networks_RH_SomMot_11,SomMot,71,0.010087098926305771,0.006875017192214727,0.04225635528564453,0.035381343215703964
187,47,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,111,0.009973205626010895,0.0028308681212365627,-0.00048157665878534317,-0.003312445478513837
188,166,7Networks_RH_Cont_Par_2,Cont,47,0.009662234224379063,0.004781260620802641,0.03759552910923958,0.03281427174806595
189,154,7Networks_RH_SalVentAttn_FrOperIns_3,SalVentAttn,92,0.00964895635843277,9.16423014132306e-05,0.052559543401002884,0.05246790498495102
190,19,7Networks_LH_SomMot_5,SomMot,118,0.00945904292166233,0.004547435324639082,-0.0387699194252491,-0.04331735894083977
191,56,7Networks_LH_Limbic_OFC_2,Limbic,142,0.009347143582999706,0.0075058601796627045,-0.030196253210306168,-0.03770211711525917
192,196,7Networks_RH_Default_PFCdPFCm_6,Default,57,0.009334451518952847,0.008780677802860737,-0.026992689818143845,-0.035773370414972305
193,172,7Networks_RH_Cont_PFCl_3,Cont,103,0.00925122108310461,0.0018246356630697846,0.017762813717126846,0.015938185155391693
194,180,7Networks_RH_Cont_PFCmp_1,Cont,89,0.009188679046928883,0.0012978469021618366,0.02979031577706337,0.02849246934056282
195,159,7Networks_RH_Limbic_OFC_1,Limbic,92,0.008941645734012127,0.0059825461357831955,-0.021726174280047417,-0.027708714827895164
196,22,7Networks_LH_SomMot_8,SomMot,121,0.00893533043563366,0.0011844210093840957,-0.004092922434210777,-0.005277344956994057
197,156,7Networks_RH_SalVentAttn_Med_1,SalVentAttn,139,0.00848590862005949,0.0026964014396071434,0.0708746463060379,0.06817824393510818
198,20,7Networks_LH_SomMot_6,SomMot,134,0.008355227299034595,0.004044687375426292,-0.0015459285350516438,-0.0055906157940626144
199,52,7Networks_LH_SalVentAttn_Med_1,SalVentAttn,126,0.007986151613295078,0.004777783993631601,0.03435487672686577,0.029577096924185753
200,161,7Networks_RH_Limbic_OFC_3,Limbic,63,0.00712199229747057,0.004054132848978043,0.01984556019306183,0.015791429206728935
201,0,Background,?,1380,0.0069577512331306934,0.0037687718868255615,-0.05863392725586891,-0.06240269914269447
