vertex_index,hemisphere,x_mm,y_mm,z_mm
485,L,-6.5110,-20.9669,52.5124
486,L,-5.5946,-29.5786,53.1526
487,L,-8.2237,-38.3314,56.5896
488,L,-5.2723,-29.4620,70.9901
489,L,-4.4485,-41.6861,64.6984
490,L,-15.7153,-43.9401,64.3053
491,L,-10.2203,-51.4668,68.6831
492,L,-14.5838,-53.9356,62.0172
493,L,-18.2888,36.2027,34.5600
494,L,-18.9450,35.0773,44.9734
495,L,-13.7461,31.5724,48.8971
496,L,-19.9013,13.5515,53.3657
497,L,-16.8446,19.2291,57.3280
498,L,-7.8470,23.7258,58.7174
499,L,-6.6982,13.2300,61.3971
500,L,-8.0651,1.2715,58.4110
501,L,-9.9285,1.8071,49.6097
502,L,-5.6912,24.1210,-5.5402
503,L,-0.8487,14.4916,1.4161
504,L,-0.8615,29.0974,-0.6684
505,L,-2.7796,31.0919,9.5141
506,L,-6.6236,28.4823,17.4651
507,L,-13.2590,43.6694,16.8180
508,L,-12.9506,31.7313,22.0579
509,L,-8.3161,22.6843,27.5350
510,L,-11.7416,14.5531,34.4917
511,L,-10.5378,8.6116,42.5204
512,L,-38.7656,26.5944,-9.8072
513,L,-32.0168,22.7136,-15.4026
514,L,-37.9987,26.9674,-15.9222
515,L,-24.2095,32.0410,-10.0744
516,L,-17.0005,35.4177,-20.6917
517,L,-21.0263,57.2012,-13.4974
518,L,-12.5578,48.3614,-21.3184
519,L,-9.2850,39.1595,-20.4291
520,L,-2.7625,35.6333,-26.4876
521,L,-8.4579,28.6124,-14.1687
522,L,-48.4728,8.8235,8.4301
523,L,-52.5516,14.5226,8.1279
524,L,-47.0534,19.3295,10.6841
525,L,-43.5089,27.2650,12.0061
526,L,-52.0479,27.0635,6.1216
527,L,-42.1439,25.4899,6.7781
528,L,-37.4551,29.9177,2.8083
529,L,-36.0689,32.3695,-4.3035
530,L,-27.1821,26.2392,-0.1252
531,L,-64.3206,-19.7691,-0.0815
532,L,-58.0945,-14.4037,-5.3799
533,L,-59.9018,-15.1235,1.7492
534,L,-52.0076,-13.6109,2.1122
535,L,-46.6657,-19.2791,-5.1262
536,L,-32.9404,-21.7408,8.8380
537,L,-34.8907,-19.8192,0.4957
538,L,-36.4046,-16.6172,-7.2683
539,L,-36.9347,-4.3736,-0.1217
540,L,-31.7013,12.8435,1.6159
541,L,-56.2041,-44.0998,38.3015
542,L,-57.8863,-46.4475,30.6603
543,L,-55.7025,-48.3361,22.6486
544,L,-51.0006,-32.8208,24.0219
545,L,-46.8851,-43.2494,22.1837
546,L,-58.3978,-40.7397,14.6136
547,L,-61.6036,-33.4344,9.2060
548,L,-63.8135,-26.4162,5.6347
549,L,-59.1548,-28.7625,-0.9818
550,L,-40.9068,-81.0816,6.5517
551,L,-42.9235,-80.9560,0.2804
552,L,-47.9058,-74.3930,6.7669
553,L,-42.0306,-64.8487,5.5674
554,L,-53.3203,-61.1205,5.6844
555,L,-39.6874,-57.6909,14.5252
556,L,-50.0452,-57.7649,8.7681
557,L,-57.1886,-53.3039,2.2793
558,L,-53.1622,-44.8242,-1.2672
559,L,-49.3316,-36.0983,-0.4010
560,L,-22.9278,-63.2731,48.9658
561,L,-22.0653,-61.1994,35.2042
562,L,-28.7829,-67.2057,24.3118
563,L,-32.4036,-68.4015,42.9754
564,L,-31.5755,-75.0112,31.5386
565,L,-32.7457,-78.6324,16.6813
566,L,-36.3254,-86.9453,14.7339
567,L,-35.6290,-81.7799,9.8308
568,L,-26.9816,-85.7017,1.6910
569,L,-19.9330,-60.2539,14.7121
570,L,-20.3500,-71.8087,7.8747
571,L,-14.6925,-67.7472,9.3325
572,L,-4.1480,-73.0391,11.4447
573,L,-2.9244,-86.2700,11.4891
574,L,-5.2860,-82.7499,32.0805
575,L,-7.0429,-86.8000,18.8349
576,L,-5.1913,-98.6939,8.4793
577,L,-12.1101,-102.1253,3.0250
578,L,-21.8176,-97.3900,1.3343
579,L,-16.5832,-23.3994,38.2354
580,L,-11.3332,-30.3103,38.9159
581,L,-4.8185,-35.0157,40.9911
582,L,-10.8794,-48.4912,43.8322
583,L,-14.8537,-44.6752,36.2811
584,L,-8.9542,-44.1312,31.1092
585,L,-9.3507,-52.7207,24.3824
586,L,-6.1225,-61.8719,17.4818
587,L,-7.6678,-58.3839,10.4839
588,L,-2.9944,-3.7821,-1.4729
589,L,-1.3494,1.5596,5.0063
590,L,-2.9980,-7.1244,9.7421
591,L,-3.3878,-20.7701,12.6323
592,L,-0.2837,-7.7881,26.3612
593,L,-0.5135,-21.6979,19.5233
594,L,-0.2969,-32.8924,12.0421
595,L,0.1102,-42.9166,11.6575
596,L,-7.4453,-49.9570,11.2316
597,L,-25.0574,16.5349,-15.8004
598,L,-30.0234,4.5200,-14.1801
599,L,-33.0793,-2.4116,-21.8168
600,L,-19.7533,0.3580,-11.9133
601,L,-31.3283,-7.1685,-19.1399
602,L,-27.2510,-4.0500,-30.1936
603,L,-21.5297,-7.8694,-30.9195
604,L,-22.3884,-15.2876,-30.4756
605,L,-33.4912,-14.6856,-31.2423
606,L,-28.2809,-23.4753,-26.9598
607,L,-50.2408,-12.6910,-14.7823
608,L,-53.9004,-9.4092,-23.4294
609,L,-56.8846,-6.2249,-28.5699
610,L,-48.5847,11.7370,-23.9954
611,L,-47.8599,3.1899,-34.2843
612,L,-46.3659,-8.6062,-34.4852
613,L,-43.6104,-9.5583,-41.8047
614,L,-37.2528,-8.0691,-34.6393
615,L,-40.7828,-17.2650,-23.3807
616,L,-43.9763,-74.0014,-5.3739
617,L,-39.8392,-69.9051,-6.9393
618,L,-40.8130,-60.0974,-11.1322
619,L,-56.7345,-52.7357,-15.7645
620,L,-49.5535,-50.5572,-14.8024
621,L,-41.7628,-48.3179,-15.3712
622,L,-43.0144,-38.9555,-21.4900
623,L,-42.9374,-30.9655,-20.7918
624,L,-35.5734,-32.6394,-25.7526
625,L,-15.6737,-74.4970,2.8225
626,L,-3.7506,-69.2904,3.5486
627,L,-13.0235,-70.9894,-3.7024
628,L,-10.2180,-86.2198,-12.7417
629,L,-16.3052,-73.9454,-10.4462
630,L,-23.1426,-60.4697,-7.8090
631,L,-32.3405,-54.1524,-9.5535
632,L,-29.1950,-42.7802,-18.2686
633,L,-36.8452,-31.8971,-18.2238
634,L,0.9919,-20.7184,-10.4149
635,L,-11.6103,-23.4066,-12.1276
636,L,-27.6893,-29.2115,-9.2116
637,L,-26.1902,-38.5726,2.3342
638,L,-33.4953,-38.0647,-3.9980
639,L,-37.5665,-34.6274,-12.0465
640,L,-24.8818,-28.5267,-16.7730
641,L,-26.2600,-30.5801,-20.5377
642,L,-39.7338,-15.6652,60.1616
643,L,-40.2640,-10.2927,60.5773
644,L,-38.0449,-13.0585,63.2172
645,L,-36.4459,-22.2367,56.6459
646,L,-37.1513,-19.2862,55.1792
647,L,-33.4462,-22.4220,60.9786
648,L,-32.1910,-23.9262,54.6846
649,L,-35.1688,-18.1133,66.2836
650,L,-31.5179,-21.7963,65.2959
651,L,-33.6948,-12.8917,63.1507
652,L,-22.6672,49.3243,23.3085
653,L,-20.9073,50.5898,26.8642
654,L,-24.0179,45.8037,29.8436
655,L,-23.5899,44.0585,18.2730
656,L,-23.5773,50.2554,17.8542
657,L,-24.6547,37.2916,20.9837
658,L,-27.6673,40.4737,17.0595
659,L,-56.2685,-3.5083,8.1851
